,category,sub_category,sub_category2,prod_link,product,link
25,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 128GB Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-128gb-purple-middle-east-version/?promo=3002057
26,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 256GB Blue with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-256gb-blue-middle-east-version/?promo=3002064
27,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 256GB Space Black with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-256gb-space-black-middle-east-version/?promo=3002105
28,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Plus 128GB Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-plus-128gb-purple-middle-east-version/?promo=3002072
29,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 256GB Silver with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-256gb-silver-middle-east-version/?promo=3002090
30,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 256GB Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-256gb-purple-middle-east-version/?promo=3002062
31,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 256GB Silver with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-256gb-silver-middle-east-version/?promo=3002106
32,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 512GB Silver with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-512gb-silver-middle-east-version/?promo=3002110
33,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 256GB Space Black with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-256gb-space-black-middle-east-version/?promo=3002089
34,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 256GB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-256gb-gold-middle-east-version/?promo=3002091
